"area_name","area_code","date","new_cases","total_cases"
"Hounslow","E09000018",2020-09-08,5,1404
"Islington","E09000019",2020-09-08,8,741
"Kensington and Chelsea","E09000020",2020-09-08,3,762
"Kingston upon Thames","E09000021",2020-09-08,5,868
"Lambeth","E09000022",2020-09-08,10,1707
"Lewisham","E09000023",2020-09-08,13,1429
"Merton","E09000024",2020-09-08,6,1071
"Newham","E09000025",2020-09-08,23,1631
"Redbridge","E09000026",2020-09-08,12,1447
"Richmond upon Thames","E09000027",2020-09-08,4,720
"Southwark","E09000028",2020-09-08,15,1736
"Sutton","E09000029",2020-09-08,5,1124
"Tower Hamlets","E09000030",2020-09-08,20,1155
"Waltham Forest","E09000031",2020-09-08,7,1251
"Wandsworth","E09000032",2020-09-08,12,1539
"Westminster","E09000033",2020-09-08,7,1040
"Barking and Dagenham","E09000002",2020-09-09,12,965
"Barnet","E09000003",2020-09-09,18,2050
"Bexley","E09000004",2020-09-09,5,1228
"Brent","E09000005",2020-09-09,21,2038
"Bromley","E09000006",2020-09-09,7,1742
"Camden","E09000007",2020-09-09,7,897
"Croydon","E09000008",2020-09-09,8,2117
"Ealing","E09000009",2020-09-09,14,1954
"Enfield","E09000010",2020-09-09,10,1493
"Greenwich","E09000011",2020-09-09,10,1140
"Hackney and City of London","E09000012",2020-09-09,14,1290
"Hammersmith and Fulham","E09000013",2020-09-09,6,1001
"Haringey","E09000014",2020-09-09,7,1028
"Harrow","E09000015",2020-09-09,13,1560
"Havering","E09000016",2020-09-09,10,1242
"Hillingdon","E09000017",2020-09-09,15,1429
"Hounslow","E09000018",2020-09-09,18,1422
"Islington","E09000019",2020-09-09,8,749
"Kensington and Chelsea","E09000020",2020-09-09,10,772
"Kingston upon Thames","E09000021",2020-09-09,2,870
"Lambeth","E09000022",2020-09-09,15,1722
"Lewisham","E09000023",2020-09-09,9,1438
"Merton","E09000024",2020-09-09,4,1075
"Newham","E09000025",2020-09-09,14,1645
"Redbridge","E09000026",2020-09-09,14,1461
"Richmond upon Thames","E09000027",2020-09-09,7,727
"Southwark","E09000028",2020-09-09,13,1749
"Sutton","E09000029",2020-09-09,2,1126
"Tower Hamlets","E09000030",2020-09-09,21,1176
"Waltham Forest","E09000031",2020-09-09,11,1262
"Wandsworth","E09000032",2020-09-09,11,1550
"Westminster","E09000033",2020-09-09,7,1047
"Barking and Dagenham","E09000002",2020-09-10,18,983
"Barnet","E09000003",2020-09-10,20,2070
"Bexley","E09000004",2020-09-10,4,1232
"Brent","E09000005",2020-09-10,20,2058
"Bromley","E09000006",2020-09-10,12,1754
"Camden","E09000007",2020-09-10,11,908
"Croydon","E09000008",2020-09-10,12,2129
"Ealing","E09000009",2020-09-10,12,1966
"Enfield","E09000010",2020-09-10,21,1514
"Greenwich","E09000011",2020-09-10,5,1145
"Hackney and City of London","E09000012",2020-09-10,15,1305
"Hammersmith and Fulham","E09000013",2020-09-10,8,1009
"Haringey","E09000014",2020-09-10,11,1039
"Harrow","E09000015",2020-09-10,6,1566
"Havering","E09000016",2020-09-10,12,1254
"Hillingdon","E09000017",2020-09-10,14,1443
"Hounslow","E09000018",2020-09-10,26,1448
